Source,Target,Source preferred name,Target preferred name,Interaction,Source group,Target group,Database,Edge type
EX:E000002109,EX:G11402705,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",AARS2,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11407062,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",AASDH,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11399010,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCA12,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11398498,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCB10,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11396921,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCB6,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11394520,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCC8,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11393689,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCD3,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11393878,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCE1,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389105,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABCF1,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11398972,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABHD12,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11404165,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABHD18,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G06588468,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",Abp1,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389111,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ABR,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11397256,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACAA2,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11404279,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACAD10,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11400157,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACAD9,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389117,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACADS,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389119,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACADVL,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389120,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACAT1,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11403325,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACBD3,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11405156,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACCS,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11390416,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACE,affects^cotreatment|increases^expression,Exposure,Gene,ctd^18585445,1
EX:E000002109,EX:G11401821,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACER3,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389129,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACO2,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11398927,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACOT11,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11402144,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACOT13,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11397965,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACOT7,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11396876,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACOT8,decreases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11398609,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACOT9,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389135,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACRV1,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389137,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACTA2,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11402148,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACTR10,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11396975,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACTR1A,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11396974,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACTR1B,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11407277,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACTRT1,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389166,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACVRL1,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11405737,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACY3,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389169,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ACYP2,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11389170,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ADA,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11394546,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ADAM17,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11395874,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ADAM18,increases^expression,Exposure,Gene,ctd^22378314,1
EX:E000002109,EX:G11395871,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ADAM23,increases^expression,Exposure,Gene,ctd^22378314,1
