Source,Target,Source preferred name,Target preferred name,Interaction,Source group,Target group,Database,Edge type
EX:E000002109,GO:0004115,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","3',5'-cyclic-AMP phosphodiesterase activity",association,Exposure,GO,ctd,1
EX:E000002109,GO:0030521,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",androgen receptor signaling pathway,association,Exposure,GO,ctd,1
EX:E000002109,GO:0046058,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",cAMP metabolic process,association,Exposure,GO,ctd,1
EX:E000002109,GO:0008283,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",cell population proliferation,association,Exposure,GO,ctd,1
EX:E000002109,GO:0033484,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",intracellular nitric oxide homeostasis,association,Exposure,GO,ctd,1
EX:E000002109,GO:0010424,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",DNA methylation on cytosine within a CG sequence,association,Exposure,GO,ctd,1
EX:E000002109,GO:0008210,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",estrogen metabolic process,association,Exposure,GO,ctd,1
EX:E000002109,GO:0060322,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",head development,association,Exposure,GO,ctd,1
EX:E000002109,GO:0031959,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",mineralocorticoid receptor signaling pathway,association,Exposure,GO,ctd,1
EX:E000002109,GO:0008285,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",negative regulation of cell population proliferation,association,Exposure,GO,ctd,1
EX:E000002109,GO:1904339,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",negative regulation of dopaminergic neuron differentiation,association,Exposure,GO,ctd,1
EX:E000002109,GO:0045930,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",negative regulation of mitotic cell cycle,association,Exposure,GO,ctd,1
EX:E000002109,GO:0001542,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",ovulation from ovarian follicle,association,Exposure,GO,ctd,1
EX:E000002109,GO:0043065,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of apoptotic process,association,Exposure,GO,ctd,1
EX:E000002109,GO:0010942,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of cell death,association,Exposure,GO,ctd,1
EX:E000002109,GO:0030335,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of cell migration,association,Exposure,GO,ctd,1
EX:E000002109,GO:0008284,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of cell population proliferation,association,Exposure,GO,ctd,1
EX:E000002109,GO:0070374,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of ERK1 and ERK2 cascade,association,Exposure,GO,ctd,1
EX:E000002109,GO:0120008,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of glutamatergic neuron differentiation,association,Exposure,GO,ctd,1
EX:E000002109,GO:0033148,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of intracellular estrogen receptor signaling pathway,association,Exposure,GO,ctd,1
EX:E000002109,GO:1903980,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of microglial cell activation,association,Exposure,GO,ctd,1
EX:E000002109,GO:1901216,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of neuron death,association,Exposure,GO,ctd,1
EX:E000002109,GO:0060279,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of ovulation,association,Exposure,GO,ctd,1
EX:E000002109,GO:1903428,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of reactive oxygen species biosynthetic process,association,Exposure,GO,ctd,1
EX:E000002109,GO:2000611,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",positive regulation of thyroid hormone generation,association,Exposure,GO,ctd,1
EX:E000002109,GO:0042448,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",progesterone metabolic process,association,Exposure,GO,ctd,1
EX:E000002109,GO:1903578,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",regulation of ATP metabolic process,association,Exposure,GO,ctd,1
EX:E000002109,GO:0007346,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",regulation of mitotic cell cycle,association,Exposure,GO,ctd,1
EX:E000002109,GO:0044319,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","wound healing, spreading of cells",association,Exposure,GO,ctd,1
EX:E000002109,GO:0006805,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",xenobiotic metabolic process,association,Exposure,GO,ctd,1
EX:E000002567,GO:0008291,"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-lambda5-phosphane",acetylcholine metabolic process,association,Exposure,GO,ctd,1
EX:E000002567,GO:0006919,"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-lambda5-phosphane",activation of cysteine-type endopeptidase activity involved in apoptotic process,association,Exposure,GO,ctd,1
EX:E000002567,GO:0008635,"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-lambda5-phosphane",activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c,association,Exposure,GO,ctd,1
EX:E000002567,GO:0032148,"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-lambda5-phosphane",activation of protein kinase B activity,association,Exposure,GO,ctd,1
