Source,Target,Source preferred name,Target preferred name,Interaction,Source group,Target group,Database,Edge type
EX:E000002109,KEGG:hsa00020,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",citrate cycle,9.4e-15,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00140,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",steroid hormone biosynthesis,5.94e-10,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00220,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",arginine biosynthesis,3.32e-07,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00230,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",purine metabolism,1.11e-47,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00250,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","alanine, aspartate and glutamate metabolism",1.09e-08,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00260,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine","glycine, serine and threonine metabolism",9.9e-05,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00270,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",cysteine and methionine metabolism,5.19e-11,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00330,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",arginine and proline metabolism,2.56e-18,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00340,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",histidine metabolism,2.34e-08,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00350,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",tyrosine metabolism,1.12e-05,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00380,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",tryptophan metabolism,6.83e-15,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00410,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",beta-alanine metabolism,7.95e-07,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00480,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",glutathione metabolism,2.36e-22,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00561,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",glycerolipid metabolism,1.63e-12,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00562,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",inositol phosphate metabolism,1.37e-09,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00590,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",arachidonic acid metabolism,1.08e-11,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00620,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",pyruvate metabolism,1.74e-09,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00630,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",glyoxylate and dicarboxylate metabolism,9.32e-07,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00650,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",butanoate metabolism,1.07e-05,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00830,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",retinol metabolism,2.24e-08,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00860,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",porphyrin metabolism,0.00236,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00980,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",metabolism of xenobiotics by cytochrome p450,1.76e-13,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa00982,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",drug metabolism,9.33e-12,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa01100,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",metabolic pathways,6.64e-281,Exposure,Pathway,ctd,1
EX:E000002109,KEGG:hsa01200,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",carbon metabolism,1.36e-35,Exposure,Pathway,ctd,1
